date;iso3;TWI_VOLUME;EPI_CONFIRMED;IRI_UNVERIFIED;IRI_VERIFIED;IRI_ALL
2020-02-16;IRL;1303;0;0.0638062173912595;0;0.0638062173912595
2020-02-17;IRL;1191;0;0.0116985006741915;0;0.0116985006741915
2020-02-18;IRL;1607;0;0.0202436876518466;0;0.0202436876518466
2020-02-19;IRL;1324;0;0.00289650753608026;0;0.00289650753608026
2020-02-20;IRL;1127;0;0.00536244398685831;0;0.00536244398685831
2020-02-21;IRL;1496;0;0.00653554409522543;0;0.00653554409522543
2020-02-22;IRL;1547;0;0.00294968249127512;0.00302435799738335;0.00597404048865847
2020-02-23;IRL;2225;0;0.0168294309907334;0;0.0168294309907334
2020-02-24;IRL;4282;0;0.00745506242605151;0;0.00745506242605151
2020-02-25;IRL;6731;0;0.0134984426077269;0.0111315173285193;0.0246299599362461
2020-02-26;IRL;7253;0;0.0199704621736416;0.00824851772958416;0.0282189799032258
2020-02-27;IRL;10430;0;0.0328556932516307;0.0105092204448596;0.0433649136964903
2020-02-28;IRL;10411;0;0.0246098386062739;0;0.0246098386062739
2020-02-29;IRL;9986;1;0.0317535588280333;0.000799944020144635;0.032553502848178
2020-03-01;IRL;11291;1;0.0311476526626552;0;0.0311476526626552
2020-03-02;IRL;10589;1;0.00827849474222221;0.00751044239121917;0.0157889371334414
2020-03-03;IRL;9561;2;0.0252228434948853;0;0.0252228434948853
2020-03-04;IRL;10868;6;0.022451830735229;0.00049467838749088;0.0229465091227199
2020-03-05;IRL;13396;6;0.0134960277814769;0.00320105276987833;0.0166970805513552
2020-03-06;IRL;15103;18;0.0140038462719131;0.00401823426217636;0.0180220805340895
2020-03-07;IRL;13553;18;0.0301511489473694;0;0.0301511489473694
2020-03-08;IRL;15726;19;0.0261593835727213;0.00874012967830152;0.0348995132510228
2020-03-09;IRL;15924;21;0.016242142037272;0.0069467873584178;0.0231889293956898
2020-03-10;IRL;16128;34;0.0117887326084449;0.000899777404675841;0.0126885100131207
2020-01-22;IRN;262;0;0.515432098765432;0;0.515432098765432
2020-01-23;IRN;575;0;0.156061301147359;0.52304847690262;0.679109778049979
2020-01-24;IRN;1161;0;0.146093875153522;0.59965023762482;0.745744112778341
2020-01-25;IRN;1852;0;0.0740907893187718;0.629558200509431;0.703648989828203
2020-01-26;IRN;1690;0;0.115903090236626;0.401451894595527;0.517354984832153
2020-01-27;IRN;1135;0;0.06308370912496;0.679033096899119;0.742116806024079
2020-01-28;IRN;1057;0;0.0345421798446999;0.205735073710749;0.240277253555449
2020-01-29;IRN;1136;0;0.0699076714784473;0.703959533405625;0.773867204884072
2020-01-30;IRN;2335;0;0.126252130291002;0.60068863826991;0.726940768560912
2020-01-31;IRN;2170;0;0.0679434393872667;0.751588670502153;0.819532109889419
2020-02-01;IRN;1087;0;0.033806606370489;0.691127339906584;0.724933946277073
2020-02-02;IRN;1094;0;0.0290993032475994;0.544813435138147;0.573912738385746
2020-02-03;IRN;979;0;0.0286252765562263;0.788614042718001;0.817239319274227
2020-02-04;IRN;706;0;0.0226148293331941;0.743195731474329;0.765810560807523
2020-02-05;IRN;619;0;0.0420150489179481;0.897835099399757;0.939850148317705
2020-02-06;IRN;704;0;0.0207140368936675;0.882243405834256;0.902957442727924
2020-02-07;IRN;652;0;0.0428337321388174;0.414708657420265;0.457542389559082
2020-02-08;IRN;564;0;0.0108948467597451;0.717240721305219;0.728135568064964
2020-02-09;IRN;588;0;0.00475405064519259;0.796165007012004;0.800919057657197
2020-02-10;IRN;504;0;0.0571702181593994;0.470897997206375;0.528068215365774
2020-02-11;IRN;500;0;0.0267412911244391;0.655777264965869;0.682518556090308
2020-02-12;IRN;422;0;0.105578152938397;0.389418907198612;0.49499706013701
2020-02-13;IRN;452;0;0.0878733015124083;0.590084829674449;0.677958131186858
2020-02-14;IRN;349;0;0.213118497199444;0.636970720308047;0.850089217507491
2020-02-15;IRN;398;0;0.0474536923760514;0.884782442740621;0.932236135116672
2020-02-16;IRN;388;0;0.0150356778797146;0.738656263885622;0.753691941765336
2020-02-17;IRN;355;0;0.0595282505634569;0.585807362503562;0.645335613067019
2020-02-18;IRN;439;0;0.00422861856931738;0.926865795993739;0.931094414563056
2020-02-19;IRN;753;2;0.0377335753796875;0.586449291418368;0.624182866798056
2020-02-20;IRN;1200;5;0.0324334901607126;0.770595291775496;0.803028781936208
2020-02-21;IRN;1435;18;0.0267825109164574;0.49552403370757;0.522306544624028
2020-02-22;IRN;1571;28;0.00297694157880912;0.796392818943924;0.799369760522733
2020-02-23;IRN;1816;43;0.0368919713346966;0.701059260140874;0.737951231475571
2020-02-24;IRN;2867;61;0.0271543442775598;0.751515846385396;0.778670190662956
2020-02-25;IRN;3638;95;0.0176484607368422;0.562175839435685;0.579824300172528
2020-02-26;IRN;3597;139;0.0496425304908227;0.673839593394106;0.723482123884929
2020-02-27;IRN;3463;245;0.0543063401527385;0.443242071635974;0.497548411788712
2020-02-28;IRN;3286;388;0.105341296220059;0.510324531756012;0.615665827976071
2020-02-29;IRN;2996;593;0.145180093140484;0.642947118228111;0.788127211368595
2020-03-01;IRN;3097;978;0.0472447512402198;0.661731100003942;0.708975851244162
2020-03-02;IRN;3710;1501;0.0363170914793751;0.636140171450577;0.672457262929952
2020-03-03;IRN;3382;2336;0.0819859057612143;0.579023841205519;0.661009746966733
2020-03-04;IRN;3188;2922;0.0551053087479065;0.520660407023517;0.575765715771424
2020-03-05;IRN;3082;3513;0.0149152205892171;0.63631606673316;0.651231287322377
2020-03-06;IRN;3369;4747;0.0272524988082428;0.568231090655847;0.59548358946409
2020-03-07;IRN;4037;5823;0.0520975382765997;0.616453605982072;0.668551144258672
2020-03-08;IRN;2867;6566;0.0191847937194535;0.50784380941062;0.527028603130073
2020-03-09;IRN;2812;7161;0.0682359189628473;0.733193621459744;0.801429540422591
2020-03-10;IRN;2654;8042;0.0694062519984419;0.703890494102053;0.773296746100495
2020-01-22;IRQ;64;0;0.00423842755618157;0;0.00423842755618157
2020-01-23;IRQ;120;0;0.155663571290385;0;0.155663571290385
2020-01-24;IRQ;277;0;0.368675159540142;0;0.368675159540142
2020-01-25;IRQ;505;0;0.210385886663215;0;0.210385886663215
2020-01-26;IRQ;466;0;0.108234636481152;0;0.108234636481152
2020-01-27;IRQ;367;0;0.236416983085951;0;0.236416983085951
2020-01-28;IRQ;330;0;0.337576792643274;0;0.337576792643274
2020-01-29;IRQ;373;0;0.124899274778405;0;0.124899274778405
2020-01-30;IRQ;588;0;0.213803255975061;0;0.213803255975061
2020-01-31;IRQ;656;0;0.10634885275117;0;0.10634885275117
2020-02-01;IRQ;357;0;0.0129369709063531;0;0.0129369709063531
2020-02-02;IRQ;293;0;0.346594791587579;0;0.346594791587579
2020-02-03;IRQ;264;0;0.45063177346052;0;0.45063177346052
2020-02-04;IRQ;177;0;0.0131823333873072;0;0.0131823333873072
2020-02-05;IRQ;190;0;0.181845771830597;0;0.181845771830597
2020-02-06;IRQ;207;0;0.0141431678381078;0;0.0141431678381078
2020-02-07;IRQ;222;0;0.0576953925675074;0;0.0576953925675074
2020-02-08;IRQ;178;0;0.0937964032337898;0;0.0937964032337898
2020-02-09;IRQ;158;0;0.0113355746630567;0;0.0113355746630567
2020-02-10;IRQ;156;0;0.192007875063187;0;0.192007875063187
2020-02-11;IRQ;184;0;0.0138943086546762;0;0.0138943086546762
2020-02-12;IRQ;186;0;0.193041421814533;0;0.193041421814533
2020-02-13;IRQ;148;0;0.20203548750816;0;0.20203548750816
2020-02-14;IRQ;106;0;0.200006770709909;0;0.200006770709909
2020-02-15;IRQ;138;0;0;0;0
2020-02-16;IRQ;168;0;0.114916047698914;0;0.114916047698914
2020-02-17;IRQ;160;0;0.0842166472836019;0;0.0842166472836019
2020-02-18;IRQ;141;0;0.0102579969097094;0;0.0102579969097094
2020-02-19;IRQ;192;0;0.00534420332392541;0;0.00534420332392541
2020-02-20;IRQ;348;0;0.00461511774780299;0;0.00461511774780299
2020-02-21;IRQ;427;0;0.0132879630442241;0;0.0132879630442241
2020-02-22;IRQ;639;0;0.0166591044970041;0.0458957719858664;0.0625548764828704
2020-02-23;IRQ;463;0;0.00409434909516753;0;0.00409434909516753
2020-02-24;IRQ;1220;1;0.0054834929956037;0;0.0054834929956037
2020-02-25;IRQ;967;1;0.00997084016230642;0;0.00997084016230642
2020-02-26;IRQ;896;5;0.00869305963271436;0;0.00869305963271436
2020-02-27;IRQ;963;7;0.0357660026149672;0;0.0357660026149672
2020-02-28;IRQ;759;7;0.0327038409304333;0;0.0327038409304333
2020-02-29;IRQ;763;13;0.0329049722389993;0;0.0329049722389993
2020-03-01;IRQ;827;19;0.0514457514452357;0;0.0514457514452357
2020-03-02;IRQ;798;26;0.042997381164407;0;0.042997381164407
2020-03-03;IRQ;912;32;0.0241249209656187;0;0.0241249209656187
2020-03-04;IRQ;1096;35;0.133827776602588;0;0.133827776602588
2020-03-05;IRQ;939;35;0.202062105773896;0;0.202062105773896
2020-03-06;IRQ;940;40;0.0835931321608073;0;0.0835931321608073
2020-03-07;IRQ;1079;54;0.0860010020115007;0;0.0860010020115007
2020-03-08;IRQ;874;60;0.0114562647670079;0;0.0114562647670079
2020-03-09;IRQ;796;60;0.045197904540163;0;0.045197904540163
2020-03-10;IRQ;876;71;0.0268768847617952;0;0.0268768847617952
2020-01-22;ISL;53;0;0.608254634487583;0;0.608254634487583
2020-01-23;ISL;94;0;0.0138354015119099;0;0.0138354015119099
2020-01-24;ISL;184;0;0.0359071414928898;0;0.0359071414928898
2020-01-25;ISL;416;0;0.140818350364334;0;0.140818350364334
2020-01-26;ISL;364;0;0;0;0
2020-01-27;ISL;270;0;0.204515105992322;0;0.204515105992322
2020-01-28;ISL;280;0;0.0466663520973906;0.437054687868636;0.483721039966027
2020-01-29;ISL;316;0;0.0217193496063615;0;0.0217193496063615
2020-01-30;ISL;429;0;0.176371501475161;0;0.176371501475161
2020-01-31;ISL;357;0;0.166555451754971;0;0.166555451754971
2020-02-01;ISL;184;0;0.0172348124166825;0;0.0172348124166825
2020-02-02;ISL;166;0;0.113553495155745;0;0.113553495155745
2020-02-03;ISL;95;0;0.241744548286604;0;0.241744548286604
2020-02-04;ISL;99;0;0;0;0
2020-02-05;ISL;89;0;0.0373055782949363;0;0.0373055782949363
2020-02-06;ISL;117;0;0.0778270565536596;0;0.0778270565536596
2020-02-07;ISL;168;0;0.0277293223184017;0;0.0277293223184017
2020-02-08;ISL;140;0;0;0;0
2020-02-09;ISL;90;0;0.0232884962858864;0;0.0232884962858864
2020-02-10;ISL;82;0;0.711932312733603;0;0.711932312733603
2020-02-11;ISL;95;0;0.0499016577690362;0;0.0499016577690362
2020-02-12;ISL;65;0;0;0;0
2020-02-13;ISL;84;0;0.329759947385728;0;0.329759947385728
2020-02-14;ISL;74;0;0.109654265714387;0;0.109654265714387
2020-02-15;ISL;83;0;0.294693649165346;0;0.294693649165346
2020-02-16;ISL;114;0;0;0;0
2020-02-17;ISL;72;0;0.0921780838765219;0;0.0921780838765219
2020-02-18;ISL;116;0;0.0388615216201423;0;0.0388615216201423
2020-02-19;ISL;118;0;0.443729513172271;0;0.443729513172271
2020-02-20;ISL;87;0;0;0;0
2020-02-21;ISL;133;0;0.646830637173985;0;0.646830637173985
2020-02-22;ISL;130;0;0.603864594766334;0;0.603864594766334
2020-02-23;ISL;134;0;0.0605030591434398;0;0.0605030591434398
2020-02-24;ISL;232;0;0.342637671751596;0;0.342637671751596
2020-02-25;ISL;252;0;0.306580325402328;0;0.306580325402328
2020-02-26;ISL;292;0;0.0569408299542052;0;0.0569408299542052
2020-02-27;ISL;373;0;0.185986250661026;0;0.185986250661026
2020-02-28;ISL;487;1;0.467231544815507;0;0.467231544815507
2020-02-29;ISL;448;1;0.104622571920334;0;0.104622571920334
2020-03-01;ISL;437;3;0.0425580978246945;0;0.0425580978246945
2020-03-02;ISL;532;6;0.0612967233335121;0;0.0612967233335121
2020-03-03;ISL;464;11;0.121606545184083;0;0.121606545184083
2020-03-04;ISL;510;26;0.319604184871171;0;0.319604184871171
2020-03-05;ISL;571;34;0.547826086956522;0;0.547826086956522
2020-03-06;ISL;574;43;0.264577181685581;0;0.264577181685581
2020-03-07;ISL;483;50;0.402521733769036;0;0.402521733769036
2020-03-08;ISL;508;50;0.4721059972106;0;0.4721059972106
2020-03-09;ISL;485;58;0.171455609084652;0;0.171455609084652
2020-03-10;ISL;654;69;0.0901294564462776;0.503096881338397;0.593226337784675
2020-01-22;ITA;3308;0;0.0882802097657439;0.00875951810640684;0.0970397278721507
2020-01-23;ITA;6925;0;0.258874591816217;0;0.258874591816217
2020-01-24;ITA;11130;0;0.183778196127282;0;0.183778196127282
2020-01-25;ITA;16794;0;0.26246678417031;0.0113351071977225;0.273801891368032
2020-01-26;ITA;15978;0;0.171442941617224;0.00393969639193506;0.175382638009159
2020-01-27;ITA;11460;0;0.124049871870909;0.0110627531414334;0.135112625012342
2020-01-28;ITA;15815;0;0.116900611993313;0.00309450318337145;0.119995115176685
2020-01-29;ITA;17221;0;0.0939811473931084;0.00529368184846758;0.099274829241576
2020-01-30;ITA;32346;0;0.162489420824417;0.00216605344675315;0.16465547427117
2020-01-31;ITA;45254;2;0.1639500539698;0.0246578310162508;0.188607884986051
2020-02-01;ITA;24094;2;0.089958580999533;0;0.089958580999533
2020-02-02;ITA;28382;2;0.0846310177500379;0.00629951395610238;0.0909305317061403
2020-02-03;ITA;21118;2;0.105226324007472;0;0.105226324007472
