"","word","sentiment","n"
"602","rejected","negative",5
"603","saint","positive",5
"604","scam","negative",5
"605","scandal","negative",5
"606","shocked","negative",5
"607","smarter","positive",5
"608","smell","negative",5
"609","solid","positive",5
"610","steady","positive",5
"611","stealing","negative",5
"612","stigma","negative",5
"613","strain","negative",5
"614","struck","negative",5
"615","stunning","positive",5
"616","suffers","negative",5
"617","susceptible","negative",5
"618","sweet","positive",5
"619","swift","positive",5
"620","terrorism","negative",5
"621","thoughtful","positive",5
"622","thrive","positive",5
"623","trash","negative",5
"624","unclear","negative",5
"625","unity","positive",5
"626","utterly","negative",5
"627","vigilant","positive",5
"628","violation","negative",5
"629","winners","positive",5
"630","absurd","negative",4
"631","accomplished","positive",4
"632","adequate","positive",4
"633","advanced","positive",4
"634","affordable","positive",4
"635","anxious","negative",4
"636","archaic","negative",4
"637","arrogance","negative",4
"638","assault","negative",4
"639","assure","positive",4
"640","authoritarian","negative",4
"641","award","positive",4
"642","balanced","positive",4
"643","beneficial","positive",4
"644","blatant","negative",4
"645","blunt","negative",4
"646","bonus","positive",4
"647","bravery","positive",4
"648","broken","negative",4
"649","bungling","negative",4
"650","capable","positive",4
"651","catastrophe","negative",4
"652","champion","positive",4
"653","compassionate","positive",4
"654","comprehensive","positive",4
"655","confident","positive",4
"656","conflicts","negative",4
"657","correctly","positive",4
"658","crashes","negative",4
"659","crashing","negative",4
"660","criticize","negative",4
"661","damages","negative",4
"662","damaging","negative",4
"663","decent","positive",4
"664","defeat","positive",4
"665","delaying","negative",4
"666","desperately","negative",4
"667","despicable","negative",4
"668","dignity","positive",4
"669","dirty","negative",4
"670","disappointed","negative",4
"671","disappointing","negative",4
"672","disputed","negative",4
"673","disregard","negative",4
"674","disrespectful","negative",4
"675","distress","negative",4
"676","dominate","positive",4
"677","downturn","negative",4
"678","dump","negative",4
"679","effectiveness","positive",4
"680","embarrassment","negative",4
"681","empower","positive",4
"682","enemies","negative",4
"683","enhance","positive",4
"684","equitable","positive",4
"685","exploit","negative",4
"686","fatal","negative",4
"687","favor","positive",4
"688","flawed","negative",4
"689","frozen","negative",4
"690","frustration","negative",4
"691","gains","positive",4
"692","generous","positive",4
"693","genocide","negative",4
"694","goodness","positive",4
"695","grace","positive",4
"696","harms","negative",4
"697","havoc","negative",4
"698","heaven","positive",4
"699","heroic","positive",4
"700","horrifying","negative",4
"701","impressive","positive",4
"702","inaccurate","negative",4
"703","inequities","negative",4
"704","intelligent","positive",4
"705","irrelevant","negative",4
"706","jealous","negative",4
"707","liability","negative",4
"708","loose","negative",4
"709","loves","positive",4
"710","magical","positive",4
"711","master","positive",4
"712","masters","positive",4
"713","meltdown","negative",4
"714","miracle","positive",4
"715","misguided","negative",4
"716","mysterious","negative",4
"717","myth","negative",4
"718","needy","negative",4
"719","opposition","negative",4
"720","overdue","negative",4
"721","penalty","negative",4
"722","poised","positive",4
"723","poison","negative",4
"724","prize","positive",4
"725","proactive","positive",4
"726","productive","positive",4
"727","promises","positive",4
"728","promising","positive",4
"729","qualify","positive",4
"730","reckless","negative",4
"731","reform","positive",4
"732","refusing","negative",4
"733","rejects","negative",4
"734","relaxed","positive",4
"735","reluctant","negative",4
"736","remarkable","positive",4
"737","reputation","positive",4
"738","respite","positive",4
"739","retarded","negative",4
"740","ruined","negative",4
"741","scare","negative",4
"742","shambles","negative",4
"743","shine","positive",4
"744","skilled","positive",4
"745","spoiled","negative",4
"746","stability","positive",4
"747","starve","negative",4
"748","strictly","negative",4
"749","succeed","positive",4
"750","suffered","negative",4
"751","supporter","positive",4
"752","supportive","positive",4
"753","survivor","positive",4
"754","sustainability","positive",4
"755","tank","negative",4
"756","threaten","negative",4
"757","traitor","negative",4
"758","traumatic","negative",4
"759","ugh","negative",4
"760","unbelievable","negative",4
"761","unbelievably","negative",4
"762","unknown","negative",4
"763","unsafe","negative",4
"764","unsure","negative",4
"765","unusual","negative",4
"766","weed","negative",4
"767","whining","negative",4
"768","wins","positive",4
"769","absence","negative",3
"770","abysmal","negative",3
"771","accessible","positive",3
"772","accuses","negative",3
"773","alarming","negative",3
"774","allegation","negative",3
"775","allegations","negative",3
"776","allergies","negative",3
"777","allergy","negative",3
"778","anomaly","negative",3
"779","apocalyptic","negative",3
"780","appealing","positive",3
"781","applaud","positive",3
"782","appreciates","positive",3
"783","arrogant","negative",3
"784","baseless","negative",3
"785","bastards","negative",3
"786","bent","negative",3
"787","bias","negative",3
"788","blah","negative",3
"789","bloody","negative",3
"790","bomb","negative",3
"791","bothered","negative",3
"792","bravo","positive",3
"793","breathtaking","positive",3
"794","brighten","positive",3
"795","bust","negative",3
"796","catastrophic","negative",3
"797","celebration","positive",3
"798","cheer","positive",3
"799","clash","negative",3
"800","complaining","negative",3
"801","complicated","negative",3
"802","conflicting","negative",3
"803","confront","negative",3
"804","congested","negative",3
"805","contamination","negative",3
"806","crack","negative",3
"807","cracks","negative",3
"808","crashed","negative",3
"809","crude","negative",3
"810","crumbling","negative",3
"811","cute","positive",3
"812","damaged","negative",3
"813","declining","negative",3
"814","defiance","negative",3
"815","denial","negative",3
"816","deprived","negative",3
"817","devastation","negative",3
"818","dick","negative",3
"819","disgusted","negative",3
"820","disorder","negative",3
"821","dispute","negative",3
"822","dragging","negative",3
"823","drain","negative",3
"824","drones","negative",3
"825","dumping","negative",3
"826","dust","negative",3
"827","dynamic","positive",3
"828","educated","positive",3
"829","endorses","positive",3
"830","enjoyed","positive",3
"831","ethical","positive",3
"832","exceed","positive",3
