"","word","sentiment","n"
"388","recommend","positive",20
"389","suffer","negative",20
"390","survivor","positive",20
"391","trauma","negative",20
"392","trouble","negative",20
"393","advanced","positive",19
"394","bias","negative",19
"395","bless","positive",19
"396","brilliant","positive",19
"397","creative","positive",19
"398","delighted","positive",19
"399","genocide","negative",19
"400","hesitant","negative",19
"401","humour","positive",19
"402","idiot","negative",19
"403","irresponsible","negative",19
"404","mar","negative",19
"405","nifty","positive",19
"406","promising","positive",19
"407","scared","negative",19
"408","scary","negative",19
"409","smooth","positive",19
"410","steady","positive",19
"411","steep","negative",19
"412","terrible","negative",19
"413","valuable","positive",19
"414","vigilance","positive",19
"415","aggressive","negative",18
"416","awards","positive",18
"417","bs","negative",18
"418","bullshit","negative",18
"419","cheap","negative",18
"420","dark","negative",18
"421","difficulties","negative",18
"422","excuse","negative",18
"423","fatigue","negative",18
"424","gratitude","positive",18
"425","guarantee","positive",18
"426","holy","positive",18
"427","honor","positive",18
"428","inflammatory","negative",18
"429","kills","negative",18
"430","loneliness","negative",18
"431","nonsense","negative",18
"432","poorest","negative",18
"433","racism","negative",18
"434","ruin","negative",18
"435","salute","positive",18
"436","suspect","negative",18
"437","angry","negative",17
"438","beneficial","positive",17
"439","blind","negative",17
"440","distress","negative",17
"441","efficient","positive",17
"442","elimination","negative",17
"443","expensive","negative",17
"444","impose","negative",17
"445","injury","negative",17
"446","needy","negative",17
"447","overwhelming","negative",17
"448","prize","positive",17
"449","stuck","negative",17
"450","unemployed","negative",17
"451","weird","negative",17
"452","winning","positive",17
"453","achievements","positive",16
"454","anxious","negative",16
"455","awesome","positive",16
"456","awful","negative",16
"457","calm","positive",16
"458","champion","positive",16
"459","compassion","positive",16
"460","desperate","negative",16
"461","dirty","negative",16
"462","dumb","negative",16
"463","enemy","negative",16
"464","extraordinary","positive",16
"465","fails","negative",16
"466","falls","negative",16
"467","illegal","negative",16
"468","improving","positive",16
"469","lovely","positive",16
"470","miserable","negative",16
"471","prefer","positive",16
"472","proving","positive",16
"473","recession","negative",16
"474","restriction","negative",16
"475","risky","negative",16
"476","scare","negative",16
"477","skilled","positive",16
"478","smile","positive",16
"479","sore","negative",16
"480","tragedy","negative",16
"481","unity","positive",16
"482","wealthy","positive",16
"483","achievement","positive",15
"484","courage","positive",15
"485","enhanced","positive",15
"486","expired","negative",15
"487","faith","positive",15
"488","fleeting","negative",15
"489","flutter","positive",15
"490","greed","negative",15
"491","impossible","negative",15
"492","improvement","positive",15
"493","incompetence","negative",15
"494","incompetent","negative",15
"495","inspiring","positive",15
"496","joy","positive",15
"497","killer","negative",15
"498","kindness","positive",15
"499","loses","negative",15
"500","myth","negative",15
"501","painful","negative",15
"502","poorer","negative",15
"503","precious","positive",15
